user_name,score,review_text,review_date,app_version,thumbs_up,churned,app,clean_review,tokens,sentiment,churn_reason
Thiên Lê,1,lỗi không vô trận xong còn ghép toàn gì đâu không,2025-07-10 14:22:08,1.59.1.5,4,1,Lien Quan Mobile,lỗi không vô trận xong còn ghép toàn gì đâu không,lỗi không vô_trận xong còn ghép toàn gì đâu không,Negative,bug
Thế Đinh văn,5,quá hay đáng chs,2025-07-10 14:21:20,1.59.1.5,0,0,Lien Quan Mobile,quá hay đáng chs,quá hay đáng chs,Positive,none
Tân Hoàng,5,hay,2025-07-10 14:20:45,1.58.1.2,0,0,Lien Quan Mobile,hay,hay,Positive,none
Cường,4,tôi cũng mới chơi được 1 tháng nhưng trải nghiệm rất thú vị,2025-07-10 14:19:26,1.59.1.5,0,0,Lien Quan Mobile,tôi cũng mới chơi được tháng nhưng trải nghiệm rất thú vị,tôi cũng mới chơi được tháng nhưng trải_nghiệm rất thú_vị,Positive,none
Lồn Lồn tiếp,1,game l ghép trận toàn vào mấy đứa phá game vs AFK,2025-07-10 14:18:12,1.59.1.5,0,1,Lien Quan Mobile,game l ghép trận toàn vào mấy đứa phá game vs afk,game l ghép trận toàn vào mấy đứa phá game vs afk,Negative,"matchmaking, toxic"
Thu Lại,5,game hay,2025-07-10 14:18:07,1.59.1.5,0,0,Lien Quan Mobile,game hay,game hay,Positive,none
Văn thắng Trừ,1,cập nhật xong lag ko vào combat lag ko thể tả,2025-07-10 14:17:50,1.59.1.5,0,1,Lien Quan Mobile,cập nhật xong lag ko vào combat lag ko thể tả,cập_nhật xong lag ko vào combat lag ko_thể tả,Negative,"lag, performance, update"
UyenNhi Tran,1,"bậc skin mới xấu quá, từ 3s premium còn 3shh ko đẹp nổi up nhìu cái chán ko muốn nói",2025-07-10 14:17:02,1.59.1.5,0,1,Lien Quan Mobile,bậc skin mới xấu quá từ s premium còn shh ko đẹp nổi up nhìu cái chán ko muốn nói,bậc skin mới xấu quá từ s premium còn shh ko đẹp nổi up nhìu cái chán ko muốn nói,Negative,other
Nhy Lam,1,Cập nhập xong 120fps chơi như 30fps :)),2025-07-10 14:15:04,1.59.1.5,0,1,Lien Quan Mobile,cập nhập xong fps chơi như fps,cập nhập xong fps chơi như fps,Negative,other
anhthu luu,1,ủa sao cho vô trận ảo hoài vậy ???,2025-07-10 14:13:57,1.58.1.2,0,1,Lien Quan Mobile,ủa sao cho vô trận ảo hoài vậy,ủa sao cho vô_trận ảo hoài vậy,Negative,other
Bạch tiểu,1,gà như cc cập nhật lm,2025-07-10 14:13:19,1.59.1.5,0,1,Lien Quan Mobile,gà như cc cập nhật lm,gà như cc cập_nhật lm,Negative,update
Tường Nguyễn,1,Vì game này mà tôi dấn vào đỏ đen :(),2025-07-10 14:12:27,1.59.1.5,0,1,Lien Quan Mobile,vì game này mà tôi dấn vào đỏ đen,vì game này mà tôi dấn vào đỏ đen,Negative,other
Khoi,1,tệ,2025-07-10 14:09:41,1.59.1.5,0,1,Lien Quan Mobile,tệ,tệ,Negative,trash
Phúc An,1,toàn gặp phá game rank đầu mùa nhu l,2025-07-10 14:08:34,1.59.1.5,0,1,Lien Quan Mobile,toàn gặp phá game rank đầu mùa nhu l,toàn gặp phá game rank đầu mùa nhu_l,Negative,toxic
Nguuen Thi Phuong Diem,5,bỏ game giờ chơi lạ vẫn thấy vui,2025-07-10 14:08:29,1.58.1.2,0,0,Lien Quan Mobile,bỏ game giờ chơi lạ vẫn thấy vui,bỏ game giờ chơi lạ vẫn thấy vui,Positive,none
MayHaBuoi Tran,2,mong game chỉnh lại phần chỉnh lane mấy mùa trước chơi thấy bình thường bây giờ chọn lane nào bắt chọn tướng lane đó😞 ko đc đi lane khác à sửa lại mau lên chứ chơi là thấy khó chịu rồi đg vui định đánh giá năm sao mà cập nhật xong giờ đổi ý rồi😤😩,2025-07-10 14:07:57,1.59.1.5,0,1,Lien Quan Mobile,mong game chỉnh lại phần chỉnh lane mấy mùa trước chơi thấy bình thường bây giờ chọn lane nào bắt chọn tướng lane đó😞 ko đc đi lane khác à sửa lại mau lên chứ chơi là thấy khó chịu rồi đg vui định đánh giá năm sao mà cập nhật xong giờ đổi ý rồi😤😩,mong game_chỉnh lại phần chỉnh_lane mấy mùa trước chơi thấy bình_thường bây_giờ chọn lane nào bắt chọn tướng lane đó 😞 ko đc đi lane khác à sửa lại mau lên chứ chơi là thấy khó_chịu rồi đg vui_định đánh_giá năm sao mà cập_nhật xong giờ đổi_ý rồi 😤 😩,Negative,update
Liên Phạm,5,quá hay,2025-07-10 14:07:34,1.58.1.2,0,0,Lien Quan Mobile,quá hay,quá hay,Positive,none
Việt Thắng,1,ko vào game được,2025-07-10 14:07:33,1.59.1.5,0,1,Lien Quan Mobile,ko vào game được,ko vào game được,Negative,other
Tu Do,1,vào 1v1 là đủ,2025-07-10 14:07:18,1.59.1.5,0,1,Lien Quan Mobile,vào v là đủ,vào v là đủ,Negative,other
Solun Kpa,5,Game OK,2025-07-10 14:06:56,1.58.1.2,0,0,Lien Quan Mobile,game ok,game ok,Positive,none
Trà Mi Nguyễn Thị,1,game như cục pịa tải game còn lâu hiệu ứng còn lag trẻ em chơi còn hại não,2025-07-10 14:06:22,1.59.1.5,0,1,Lien Quan Mobile,game như cục pịa tải game còn lâu hiệu ứng còn lag trẻ em chơi còn hại não,game như cục pịa_tải game còn lâu_hiệu_ứng còn lag trẻ_em chơi còn hại não,Negative,"lag, performance"
Kiệt,1,cập nhật xong lỗi nạp qh k thấy quân huy đâu hết,2025-07-10 14:04:33,1.59.1.5,0,1,Lien Quan Mobile,cập nhật xong lỗi nạp qh k thấy quân huy đâu hết,cập_nhật xong lỗi_nạp qh k thấy quân_huy đâu hết,Negative,"bug, price, update"
Trảm Phong,1,như qq,2025-07-10 14:03:50,1.59.1.5,0,1,Lien Quan Mobile,như qq,như qq,Negative,other
Truong Luu,1,ko thấy được chiêu của tướng thì quánh bằng niềm tin,2025-07-10 14:03:23,1.59.1.5,0,1,Lien Quan Mobile,ko thấy được chiêu của tướng thì quánh bằng niềm tin,ko thấy được chiêu của tướng thì quánh bằng niềm tin,Negative,other
Ly Ly,5,lagg nhưng kệ,2025-07-10 14:02:30,1.58.1.2,0,0,Lien Quan Mobile,lagg nhưng kệ,lagg nhưng kệ,Positive,"lag, performance"
Hoan Nguyễn,1,đang mượt cập nhật xong lag ko chơi nổi chán ko muốn chơi,2025-07-10 14:01:37,1.59.1.5,0,1,Lien Quan Mobile,đang mượt cập nhật xong lag ko chơi nổi chán ko muốn chơi,đang mượt_cập_nhật xong lag ko chơi nổi chán_ko muốn chơi,Negative,"lag, performance, update"
Khiem Vi,1,game loz,2025-07-10 14:00:42,1.58.1.2,0,1,Lien Quan Mobile,game loz,game loz,Negative,other
Ngọc Hạ Thương Nguyễn,4,cập nhập ms tệ quá lm tuộc hạng r,2025-07-10 14:00:15,1.59.1.5,0,0,Lien Quan Mobile,cập nhập ms tệ quá lm tuộc hạng r,cập nhập ms_tệ quá lm_tuộc hạng r,Positive,trash
Tâm Manh,1,cứ mỗi lần cập nhật lại phải mất hết lưu lượng tải song hết bà lưu lượng còn ko đủ tải,2025-07-10 13:59:07,1.59.1.5,0,1,Lien Quan Mobile,cứ mỗi lần cập nhật lại phải mất hết lưu lượng tải song hết bà lưu lượng còn ko đủ tải,cứ mỗi lần cập_nhật lại phải mất hết lưu_lượng tải song hết bà lưu_lượng còn ko đủ tải,Negative,update
An Thuy,4,sao chơi với máy sao vẫn ko hồi uy tín,2025-07-10 13:58:56,1.59.1.5,0,0,Lien Quan Mobile,sao chơi với máy sao vẫn ko hồi uy tín,sao chơi với máy sao vẫn ko hồi uy_tín,Positive,none
Son Truong,5,chơi game vui vẻ,2025-07-10 13:58:31,1.58.1.2,0,0,Lien Quan Mobile,chơi game vui vẻ,chơi game vui_vẻ,Positive,none
Thion Ngo,5,game chơi rất vui,2025-07-10 13:56:41,1.58.1.2,0,0,Lien Quan Mobile,game chơi rất vui,game chơi rất vui,Positive,none
Linh Hoài,5,hay,2025-07-10 13:56:18,1.59.1.5,0,0,Lien Quan Mobile,hay,hay,Positive,none
Thieu Truong Van,5,vì nó rất hay là tôi mất bao nhiêu con acc,2025-07-10 13:56:05,1.58.1.2,0,0,Lien Quan Mobile,vì nó rất hay là tôi mất bao nhiêu con acc,vì nó rất hay_là tôi mất bao_nhiêu con acc,Positive,none
Xuân Sỹ Vũ,4,game chơi hay nhưng hơn tốn đùng lg,2025-07-10 13:54:07,1.59.1.5,0,0,Lien Quan Mobile,game chơi hay nhưng hơn tốn đùng lg,game chơi hay nhưng hơn tốn_đùng lg,Positive,none
Tran Binh,5,trò chơi này rất thú vị,2025-07-10 13:53:55,1.58.1.2,0,0,Lien Quan Mobile,trò chơi này rất thú vị,trò_chơi này rất thú_vị,Positive,none
Khánh Hà Nguyen Huynh,5,wow,2025-07-10 13:52:57,1.59.1.5,0,0,Lien Quan Mobile,wow,wow,Positive,none
vux hoang,1,"là sao nữa z game, ko vô đc sảnh luôn cứ đứng ở86%",2025-07-10 13:52:26,1.59.1.5,0,1,Lien Quan Mobile,là sao nữa z game ko vô đc sảnh luôn cứ đứng ở,là sao nữa z game ko vô_đc sảnh luôn cứ đứng ở,Negative,other
Cg Thịnh,1,khựng như con chó,2025-07-10 13:52:19,1.59.1.5,0,1,Lien Quan Mobile,khựng như con chó,khựng như con chó,Negative,other
cuong tran,1,dell lm j mà ah gà bảo t phá geam mà t chs cs đc tầm 2 kill mà ah gà bảo tao phá geam ủa alo,2025-07-10 13:50:28,1.59.1.5,0,1,Lien Quan Mobile,dell lm j mà ah gà bảo t phá geam mà t chs cs đc tầm kill mà ah gà bảo tao phá geam ủa alo,dell lm j mà ah gà bảo t phá geam mà t chs cs đc tầm kill mà ah gà bảo tao phá geam ủa alo,Negative,other
Bao Bui,1,"game cập nhật xong ấn vào tướng nào cũng tải mô hình nói thật tôi thấy mô hình nhìn còn sấu hơn cả poster nữa với lại tải mô hình cũng chiếm khá nhiều dung lượng, máy yếu như tôi thường bị giật lag rồi còn tải thêm mô hình làm tôi rất khó chịu",2025-07-10 13:49:49,1.59.1.5,0,1,Lien Quan Mobile,game cập nhật xong ấn vào tướng nào cũng tải mô hình nói thật tôi thấy mô hình nhìn còn sấu hơn cả poster nữa với lại tải mô hình cũng chiếm khá nhiều dung lượng máy yếu như tôi thường bị giật lag rồi còn tải thêm mô hình làm tôi rất khó chịu,game cập_nhật xong ấn vào tướng nào cũng tải mô_hình nói thật tôi thấy mô_hình nhìn còn sấu hơn cả poster nữa với lại tải mô_hình cũng chiếm khá nhiều dung_lượng máy_yếu như tôi thường bị giật lag rồi còn tải thêm mô_hình làm tôi rất khó_chịu,Negative,"lag, performance, update"
Vy Nguyễn,4,"mong nhà sản xuất cho tự chọn tướng như đầu có rất nhiều thành phần phá game , báo cáo ko đc phá game quá nh",2025-07-10 13:49:35,1.59.1.5,0,0,Lien Quan Mobile,mong nhà sản xuất cho tự chọn tướng như đầu có rất nhiều thành phần phá game báo cáo ko đc phá game quá nh,mong nhà_sản_xuất cho tự chọn tướng như đầu có rất nhiều thành_phần phá game báo_cáo ko đc phá game quá nh,Positive,toxic
Bay Vo,5,5 sao nhưng hơi lag,2025-07-10 13:46:53,1.58.1.2,0,0,Lien Quan Mobile,sao nhưng hơi lag,sao nhưng hơi lag,Positive,"lag, performance"
Tâm Lê,5,Giảm stresss,2025-07-10 13:46:48,1.59.1.5,0,0,Lien Quan Mobile,giảm stresss,giảm stresss,Positive,none
Vyy NguyenNgocThaoVy,1,"cập nhật xong tưởng hay lắm ai người tố dolia lên full chí mạng chả trừ được 1 uy tín nào như l,vừa nặng máy vừa đi lùi v cập nhật làm me gì v gem",2025-07-10 13:46:46,1.59.1.5,0,1,Lien Quan Mobile,cập nhật xong tưởng hay lắm ai người tố dolia lên full chí mạng chả trừ được uy tín nào như lvừa nặng máy vừa đi lùi v cập nhật làm me gì v gem,cập_nhật xong tưởng hay lắm ai người tố dolia lên full_chí mạng chả_trừ được uy_tín nào như lvừa nặng máy vừa đi lùi v cập_nhật làm me gì v gem,Negative,"performance, update"
To Dieu,5,tuyệt vời,2025-07-10 13:45:58,1.58.1.2,0,0,Lien Quan Mobile,tuyệt vời,tuyệt_vời,Positive,none
Thiên Kim Huỳnh,1,tướng ms ko đcc,2025-07-10 13:45:51,1.59.1.5,0,1,Lien Quan Mobile,tướng ms ko đcc,tướng ms ko đcc,Negative,other
Tuấn Minh,1,rất lag,2025-07-10 13:45:21,1.59.1.5,0,1,Lien Quan Mobile,rất lag,rất lag,Negative,"lag, performance"
Thu Phuc,4,hay mà lag,2025-07-10 13:44:13,1.58.1.2,0,0,Lien Quan Mobile,hay mà lag,hay mà lag,Positive,"lag, performance"
Quốc Thúy Nguyễn,1,cập nhật lag như quỉ game nát vl,2025-07-10 13:42:03,1.59.1.5,0,1,Lien Quan Mobile,cập nhật lag như quỉ game nát vl,cập_nhật lag như quỉ game nát vl,Negative,"lag, performance, update"
nitzu Zen,1,game lol gì mà cập nhật xong fps 60 lag như chó,2025-07-10 13:42:02,1.59.1.5,0,1,Lien Quan Mobile,game lol gì mà cập nhật xong fps lag như chó,game lol gì mà cập_nhật xong fps lag như chó,Negative,"lag, performance, update"
Gaming Thanh,4,game cập nhật xong lag quá,2025-07-10 13:41:38,1.59.1.5,0,0,Lien Quan Mobile,game cập nhật xong lag quá,game cập_nhật xong lag quá,Positive,"lag, performance, update"
Tín Lê,5,vui,2025-07-10 13:38:25,1.59.1.5,0,0,Lien Quan Mobile,vui,vui,Positive,none
Dang Bui,1,"cân nhiêu mang qua game thì choi kiêu gì! không giông ban mình hay choi ,lag choi khong đuoc lai con bi cam choi toi nam 2028",2025-07-10 13:36:58,1.59.1.5,0,1,Lien Quan Mobile,cân nhiêu mang qua game thì choi kiêu gì không giông ban mình hay choi lag choi khong đuoc lai con bi cam choi toi nam,cân_nhiêu mang qua game thì choi_kiêu gì không giông ban mình hay choi lag choi khong đuoc lai con bi_cam choi toi nam,Negative,"lag, performance"
Bao Le,1,games tải xong 10GB nhà phát hành như cccc,2025-07-10 13:34:35,1.59.1.5,0,1,Lien Quan Mobile,games tải xong gb nhà phát hành như cccc,games tải xong gb nhà phát_hành như cccc,Negative,other
Bris K,5,chơi cực kỳ vui nhưng cho hơi ít quân huy mong anh cho nhiều hơn cảm ơn,2025-07-10 13:33:45,1.59.1.5,0,0,Lien Quan Mobile,chơi cực kỳ vui nhưng cho hơi ít quân huy mong anh cho nhiều hơn cảm ơn,chơi cực_kỳ vui nhưng cho hơi ít quân_huy mong anh cho nhiều hơn cảm_ơn,Positive,none
Vuong Mr,1,Game như lol. một tựa game mang tính thể thao toàn cầu mà cứ hết mùa thì cặp nhập từ đầu chẳn khác gì game mới tải lần đầu tôi không làm gì được nhà game.nhưng tôi rất không thích và khó chịu,2025-07-10 13:33:41,1.58.1.2,0,1,Lien Quan Mobile,game như lol một tựa game mang tính thể thao toàn cầu mà cứ hết mùa thì cặp nhập từ đầu chẳn khác gì game mới tải lần đầu tôi không làm gì được nhà gamenhưng tôi rất không thích và khó chịu,game như lol một tựa_game mang tính thể_thao toàn_cầu mà cứ hết mùa thì cặp nhập từ đầu chẳn khác gì game mới tải lần đầu tôi không làm gì được nhà_gamenhưng tôi rất không thích và khó_chịu,Negative,other
thảo nguyễn minh,5,chơi hay nha,2025-07-10 13:33:33,1.58.1.2,0,0,Lien Quan Mobile,chơi hay nha,chơi hay nha,Positive,none
Luyến Võ,1,quá lắc càng cập nhật thì càng lắc chơi cứ bị bay ra,2025-07-10 13:33:00,1.59.1.5,0,1,Lien Quan Mobile,quá lắc càng cập nhật thì càng lắc chơi cứ bị bay ra,quá lắc càng cập_nhật thì càng lắc_chơi cứ bị bay ra,Negative,update
Minh Nhật Trần,1,"Cơ chế mới của game làm kiểu gì vậy? Mình đi rừng bị thằng sp pick con khác tranh r còn trừ uy tín nữa?? Đổi lại cơ chế cũ dùm đi, game nát lắm r",2025-07-10 13:32:39,1.59.1.5,0,1,Lien Quan Mobile,cơ chế mới của game làm kiểu gì vậy mình đi rừng bị thằng sp pick con khác tranh r còn trừ uy tín nữa đổi lại cơ chế cũ dùm đi game nát lắm r,cơ_chế mới của game làm kiểu gì vậy mình đi rừng bị thằng sp pick con khác tranh_r còn trừ uy_tín nữa đổi lại cơ_chế cũ dùm đi game_nát lắm r,Negative,matchmaking
Vanh thợ xây,1,game cc gì tải 9G,2025-07-10 13:32:36,1.59.1.5,0,1,Lien Quan Mobile,game cc gì tải g,game cc gì tải g,Negative,other
K Le,5,trò chơi này rất là vui tôi nên đánh giá 5sao,2025-07-10 13:29:58,1.59.1.5,0,0,Lien Quan Mobile,trò chơi này rất là vui tôi nên đánh giá sao,trò_chơi này rất là vui tôi nên đánh_giá sao,Positive,none
Chien Le,1,ghép toàn sv,2025-07-10 13:28:56,1.59.1.5,0,1,Lien Quan Mobile,ghép toàn sv,ghép toàn sv,Negative,other
Bao Phuc,1,đánh mãi mà không lên ủy tín,2025-07-10 13:28:37,1.59.1.5,0,1,Lien Quan Mobile,đánh mãi mà không lên ủy tín,đánh mãi mà không lên ủy_tín,Negative,other
Nghiệp Nguyễn,1,game quá lag tải tài nguyên lâu h lên tận 9gb khải năng tôi xẽ bỏ gaem liên quân chuyển qua lerngd mobile vì quá lag😩😢,2025-07-10 13:27:11,1.59.1.5,4,1,Lien Quan Mobile,game quá lag tải tài nguyên lâu h lên tận gb khải năng tôi xẽ bỏ gaem liên quân chuyển qua lerngd mobile vì quá lag😩😢,game quá lag_tải tài_nguyên lâu h lên tận gb khải_năng tôi xẽ bỏ gaem liên_quân chuyển qua lerngd_mobile vì quá lag 😩 😢,Negative,"lag, performance"
Nhan Thanh,5,game hây,2025-07-10 13:25:31,1.59.1.5,0,0,Lien Quan Mobile,game hây,game hây,Positive,none
hoang huy Nguyen,5,hay,2025-07-10 13:24:03,1.58.1.2,0,0,Lien Quan Mobile,hay,hay,Positive,none
Vỹ Nguyễn,1,mỗi lần cập nhật là lag k vào đc game??,2025-07-10 13:23:02,1.59.1.5,0,1,Lien Quan Mobile,mỗi lần cập nhật là lag k vào đc game,mỗi lần cập_nhật là lag k vào đc game,Negative,"lag, performance, update"
Thuận Quach,1,game cập nhật xg như l luôn có lúc chọn đc có 1 đường k có tướng khác cho chọn luôn rồi thì vô cùng éo đc giựt giựt,2025-07-10 13:20:33,1.59.1.5,0,1,Lien Quan Mobile,game cập nhật xg như l luôn có lúc chọn đc có đường k có tướng khác cho chọn luôn rồi thì vô cùng éo đc giựt giựt,game cập_nhật xg như l luôn có lúc chọn đc có đường k có tướng khác cho chọn luôn rồi thì vô_cùng éo đc giựt giựt,Negative,update
Hoà Trần,5,game siêu hay,2025-07-10 13:20:08,1.58.1.2,0,0,Lien Quan Mobile,game siêu hay,game siêu hay,Positive,none
Manh Nguyen,5,Hayyyy,2025-07-10 13:19:52,1.59.1.5,0,0,Lien Quan Mobile,hayyyy,hayyyy,Positive,none
Thuận Võ Trần Minh,1,ghép trận chẳng thấy công bằng một síu nào,2025-07-10 13:19:32,1.59.1.5,0,1,Lien Quan Mobile,ghép trận chẳng thấy công bằng một síu nào,ghép trận chẳng thấy công_bằng một síu nào,Negative,matchmaking
Thủy Tiên Nguyễn Ngọc,5,cũng dc nhưng thấy cap Nhật hơi kì,2025-07-10 13:18:31,1.59.1.5,0,0,Lien Quan Mobile,cũng dc nhưng thấy cap nhật hơi kì,cũng dc nhưng thấy cap_nhật hơi kì,Positive,none
Hà Đặng,3,gqme nhiều lỗi quá sửa lại đi,2025-07-10 13:18:03,1.59.1.5,0,0,Lien Quan Mobile,gqme nhiều lỗi quá sửa lại đi,gqme nhiều lỗi quá sửa lại đi,Neutral,bug
Hường Trần,5,top flo,2025-07-10 13:18:01,1.58.1.2,0,0,Lien Quan Mobile,top flo,top flo,Positive,none
Huy Nguyen,5,Game chs hay giải trí có đều ghép đội chx đúng cho lắm,2025-07-10 13:17:26,1.59.1.5,0,0,Lien Quan Mobile,game chs hay giải trí có đều ghép đội chx đúng cho lắm,game chs hay giải_trí có đều ghép đội chx đúng cho lắm,Positive,none
Diep Nguyen,5,tốt,2025-07-10 13:17:18,1.59.1.5,0,0,Lien Quan Mobile,tốt,tốt,Positive,none
Tam Nguyen,5,tốt,2025-07-10 13:16:53,1.58.1.2,0,0,Lien Quan Mobile,tốt,tốt,Positive,none
Quyết Hoàng,1,điềm uy tín cày ko được cày mại ko lên,2025-07-10 13:16:49,1.59.1.5,0,1,Lien Quan Mobile,điềm uy tín cày ko được cày mại ko lên,điềm uy_tín cày ko được cày_mại ko lên,Negative,other
Hải Long Nguyễn,1,game vô ko đc dù đã tải tài nguyên mạng cũng đủ để sd như bth hiện tại vẫn vậy hôm qua chơi vẫn ổn hôm nay lại báo ko vô đc cả 4 cái acc dù đã thử xóa đi tải lại vẫn ko đc. mong nhà sản xuất chỉnh sửa lại.ok,2025-07-10 13:15:56,1.59.1.5,0,1,Lien Quan Mobile,game vô ko đc dù đã tải tài nguyên mạng cũng đủ để sd như bth hiện tại vẫn vậy hôm qua chơi vẫn ổn hôm nay lại báo ko vô đc cả cái acc dù đã thử xóa đi tải lại vẫn ko đc mong nhà sản xuất chỉnh sửa lạiok,game vô_ko đc dù đã tải tài_nguyên mạng cũng đủ để sd như bth hiện_tại vẫn vậy hôm_qua chơi vẫn ổn hôm_nay lại báo ko vô_đc cả cái acc dù đã thử xóa đi_tải lại vẫn ko đc mong nhà_sản_xuất chỉnh_sửa lạiok,Negative,update
nham nguyen,4,game hay vcll nên chơi thử,2025-07-10 13:15:30,1.58.1.2,0,0,Lien Quan Mobile,game hay vcll nên chơi thử,game hay vcll nên chơi thử,Positive,none
Phương Anh Nguyễn,1,"game bắt tải lắm tài nguyên,nặng ơi là nặng,chơi game thì gặp lũ sv phá game",2025-07-10 13:15:18,1.59.1.5,0,1,Lien Quan Mobile,game bắt tải lắm tài nguyênnặng ơi là nặngchơi game thì gặp lũ sv phá game,game bắt_tải lắm tài_nguyênnặng ơi là nặngchơi game thì gặp lũ sv phá game,Negative,"performance, toxic, update"
Quyến Quàng,5,Garena nhất là hay,2025-07-10 13:13:53,1.59.1.5,0,0,Lien Quan Mobile,garena nhất là hay,garena nhất là hay,Positive,none
Thế tường Võ,1,ghép thật sự rất lệch rank chịu garena sửa giùm đi trời,2025-07-10 13:13:02,1.59.1.5,0,1,Lien Quan Mobile,ghép thật sự rất lệch rank chịu garena sửa giùm đi trời,ghép thật_sự rất lệch rank chịu garena sửa giùm đi trời,Negative,other
Lai Nguyễn Đức,5,"tôi thấy game này hay và nhiều sự kiện, trong đó tôi có thể giao lưu nhiều người hơn, chỉ có điều tôi quá gà 🤣🤣",2025-07-10 13:12:54,1.59.1.5,0,0,Lien Quan Mobile,tôi thấy game này hay và nhiều sự kiện trong đó tôi có thể giao lưu nhiều người hơn chỉ có điều tôi quá gà 🤣🤣,tôi thấy game này hay và nhiều sự_kiện trong đó tôi có_thể giao_lưu nhiều người hơn chỉ có_điều tôi quá gà 🤣 🤣,Positive,none
Trung Lê Quang,5,geam OK hay đồ hoạ đẹp,2025-07-10 13:12:29,1.59.1.5,0,0,Lien Quan Mobile,geam ok hay đồ hoạ đẹp,geam ok hay đồ họa đẹp,Positive,none
Galaxy A03,5,tê,2025-07-10 13:12:19,1.58.1.2,0,0,Lien Quan Mobile,tê,tê,Positive,none
Sat A,5,hayyy,2025-07-10 13:11:57,1.58.1.2,0,0,Lien Quan Mobile,hayyy,hayyy,Positive,none
Lan Tran,5,Chơi vui,2025-07-10 13:11:05,1.59.1.5,0,0,Lien Quan Mobile,chơi vui,chơi vui,Positive,none
May Nguyen,1,"cập nhật xong nó lag thôi rồi, vào game thì mãi mới vào được, vào được thì wifi nó rớt không phanh, không làm được gì hết... cập nhật không biết để tốt hơn hay hành người hơn nữa",2025-07-10 13:10:46,1.59.1.5,5,1,Lien Quan Mobile,cập nhật xong nó lag thôi rồi vào game thì mãi mới vào được vào được thì wifi nó rớt không phanh không làm được gì hết cập nhật không biết để tốt hơn hay hành người hơn nữa,cập_nhật xong nó lag thôi rồi vào game thì mãi mới vào được vào được thì wifi nó rớt không phanh không làm được gì hết cập_nhật không biết để tốt hơn hay hành người hơn_nữa,Negative,"lag, performance, update"
Dang Xuan,5,Hay,2025-07-10 13:09:54,1.58.1.2,0,0,Lien Quan Mobile,hay,hay,Positive,none
Duong Thuy,1,"Cg hay nhưng chs toàn gặp thoát , ngu , ks . chả hiểu sao Garena ngu . như cứk",2025-07-10 13:09:25,1.59.1.5,1,1,Lien Quan Mobile,cg hay nhưng chs toàn gặp thoát ngu ks chả hiểu sao garena ngu như cứk,cg hay nhưng chs toàn gặp thoát ngu ks chả hiểu sao garena ngu như cứk,Negative,other
