user_name,score,review_text,review_date,app_version,thumbs_up,churned,app,sentiment,Attribute,Value
Thu Lại,5,game hay,10/07/2025 14:18,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Văn thắng Trừ,1,cập nhật xong lag ko vào combat lag ko thể tả,10/07/2025 14:17,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Văn thắng Trừ,1,cập nhật xong lag ko vào combat lag ko thể tả,10/07/2025 14:17,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Văn thắng Trừ,1,cập nhật xong lag ko vào combat lag ko thể tả,10/07/2025 14:17,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
UyenNhi Tran,1,"bậc skin mới xấu quá, từ 3s premium còn 3shh ko đẹp nổi up nhìu cái chán ko muốn nói",10/07/2025 14:17,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Nhy Lam,1,Cập nhập xong 120fps chơi như 30fps :)),10/07/2025 14:15,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
anhthu luu,1,ủa sao cho vô trận ảo hoài vậy ???,10/07/2025 14:13,1.58.1.2,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Bạch tiểu,1,gà như cc cập nhật lm,10/07/2025 14:13,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
Tường Nguyễn,1,Vì game này mà tôi dấn vào đỏ đen :(),10/07/2025 14:12,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Khoi,1,tệ,10/07/2025 14:09,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,trash
Phúc An,1,toàn gặp phá game rank đầu mùa nhu l,10/07/2025 14:08,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,toxic
Nguuen Thi Phuong Diem,5,bỏ game giờ chơi lạ vẫn thấy vui,10/07/2025 14:08,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
MayHaBuoi Tran,2,mong game chỉnh lại phần chỉnh lane mấy mùa trước chơi thấy bình thường bây giờ chọn lane nào bắt chọn tướng lane đó😞 ko đc đi lane khác à sửa lại mau lên chứ chơi là thấy khó chịu rồi đg vui định đánh giá năm sao mà cập nhật xong giờ đổi ý rồi😤😩,10/07/2025 14:07,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
Liên Phạm,5,quá hay,10/07/2025 14:07,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Việt Thắng,1,ko vào game được,10/07/2025 14:07,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Tu Do,1,vào 1v1 là đủ,10/07/2025 14:07,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Solun Kpa,5,Game OK,10/07/2025 14:06,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Trà Mi Nguyễn Thị,1,game như cục pịa tải game còn lâu hiệu ứng còn lag trẻ em chơi còn hại não,10/07/2025 14:06,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Trà Mi Nguyễn Thị,1,game như cục pịa tải game còn lâu hiệu ứng còn lag trẻ em chơi còn hại não,10/07/2025 14:06,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Kiệt,1,cập nhật xong lỗi nạp qh k thấy quân huy đâu hết,10/07/2025 14:04,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,bug
Kiệt,1,cập nhật xong lỗi nạp qh k thấy quân huy đâu hết,10/07/2025 14:04,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, price
Kiệt,1,cập nhật xong lỗi nạp qh k thấy quân huy đâu hết,10/07/2025 14:04,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Trảm Phong,1,như qq,10/07/2025 14:03,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Truong Luu,1,ko thấy được chiêu của tướng thì quánh bằng niềm tin,10/07/2025 14:03,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Ly Ly,5,lagg nhưng kệ,10/07/2025 14:02,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,lag
Ly Ly,5,lagg nhưng kệ,10/07/2025 14:02,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.2, performance
Hoan Nguyễn,1,đang mượt cập nhật xong lag ko chơi nổi chán ko muốn chơi,10/07/2025 14:01,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Hoan Nguyễn,1,đang mượt cập nhật xong lag ko chơi nổi chán ko muốn chơi,10/07/2025 14:01,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Hoan Nguyễn,1,đang mượt cập nhật xong lag ko chơi nổi chán ko muốn chơi,10/07/2025 14:01,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Khiem Vi,1,game loz,10/07/2025 14:00,1.58.1.2,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Ngọc Hạ Thương Nguyễn,4,cập nhập ms tệ quá lm tuộc hạng r,10/07/2025 14:00,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,trash
Tâm Manh,1,cứ mỗi lần cập nhật lại phải mất hết lưu lượng tải song hết bà lưu lượng còn ko đủ tải,10/07/2025 13:59,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
An Thuy,4,sao chơi với máy sao vẫn ko hồi uy tín,10/07/2025 13:58,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Son Truong,5,chơi game vui vẻ,10/07/2025 13:58,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Thion Ngo,5,game chơi rất vui,10/07/2025 13:56,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Linh Hoài,5,hay,10/07/2025 13:56,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Thieu Truong Van,5,vì nó rất hay là tôi mất bao nhiêu con acc,10/07/2025 13:56,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Xuân Sỹ Vũ,4,game chơi hay nhưng hơn tốn đùng lg,10/07/2025 13:54,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Tran Binh,5,trò chơi này rất thú vị,10/07/2025 13:53,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Khánh Hà Nguyen Huynh,5,wow,10/07/2025 13:52,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
vux hoang,1,"là sao nữa z game, ko vô đc sảnh luôn cứ đứng ở86%",10/07/2025 13:52,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Cg Thịnh,1,khựng như con chó,10/07/2025 13:52,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
cuong tran,1,dell lm j mà ah gà bảo t phá geam mà t chs cs đc tầm 2 kill mà ah gà bảo tao phá geam ủa alo,10/07/2025 13:50,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Bao Bui,1,"game cập nhật xong ấn vào tướng nào cũng tải mô hình nói thật tôi thấy mô hình nhìn còn sấu hơn cả poster nữa với lại tải mô hình cũng chiếm khá nhiều dung lượng, máy yếu như tôi thường bị giật lag rồi còn tải thêm mô hình làm tôi rất khó chịu",10/07/2025 13:49,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Bao Bui,1,"game cập nhật xong ấn vào tướng nào cũng tải mô hình nói thật tôi thấy mô hình nhìn còn sấu hơn cả poster nữa với lại tải mô hình cũng chiếm khá nhiều dung lượng, máy yếu như tôi thường bị giật lag rồi còn tải thêm mô hình làm tôi rất khó chịu",10/07/2025 13:49,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Bao Bui,1,"game cập nhật xong ấn vào tướng nào cũng tải mô hình nói thật tôi thấy mô hình nhìn còn sấu hơn cả poster nữa với lại tải mô hình cũng chiếm khá nhiều dung lượng, máy yếu như tôi thường bị giật lag rồi còn tải thêm mô hình làm tôi rất khó chịu",10/07/2025 13:49,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Vy Nguyễn,4,"mong nhà sản xuất cho tự chọn tướng như đầu có rất nhiều thành phần phá game , báo cáo ko đc phá game quá nh",10/07/2025 13:49,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,toxic
Bay Vo,5,5 sao nhưng hơi lag,10/07/2025 13:46,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,lag
Bay Vo,5,5 sao nhưng hơi lag,10/07/2025 13:46,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.2, performance
Tâm Lê,5,Giảm stresss,10/07/2025 13:46,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Vyy NguyenNgocThaoVy,1,"cập nhật xong tưởng hay lắm ai người tố dolia lên full chí mạng chả trừ được 1 uy tín nào như l,vừa nặng máy vừa đi lùi v cập nhật làm me gì v gem",10/07/2025 13:46,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,performance
Vyy NguyenNgocThaoVy,1,"cập nhật xong tưởng hay lắm ai người tố dolia lên full chí mạng chả trừ được 1 uy tín nào như l,vừa nặng máy vừa đi lùi v cập nhật làm me gì v gem",10/07/2025 13:46,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, update
To Dieu,5,tuyệt vời,10/07/2025 13:45,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Thiên Kim Huỳnh,1,tướng ms ko đcc,10/07/2025 13:45,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Tuấn Minh,1,rất lag,10/07/2025 13:45,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Tuấn Minh,1,rất lag,10/07/2025 13:45,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Thu Phuc,4,hay mà lag,10/07/2025 13:44,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,lag
Thu Phuc,4,hay mà lag,10/07/2025 13:44,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.2, performance
Quốc Thúy Nguyễn,1,cập nhật lag như quỉ game nát vl,10/07/2025 13:42,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Quốc Thúy Nguyễn,1,cập nhật lag như quỉ game nát vl,10/07/2025 13:42,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Quốc Thúy Nguyễn,1,cập nhật lag như quỉ game nát vl,10/07/2025 13:42,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
nitzu Zen,1,game lol gì mà cập nhật xong fps 60 lag như chó,10/07/2025 13:42,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
nitzu Zen,1,game lol gì mà cập nhật xong fps 60 lag như chó,10/07/2025 13:42,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
nitzu Zen,1,game lol gì mà cập nhật xong fps 60 lag như chó,10/07/2025 13:42,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Gaming Thanh,4,game cập nhật xong lag quá,10/07/2025 13:41,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,lag
Gaming Thanh,4,game cập nhật xong lag quá,10/07/2025 13:41,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.2, performance
Gaming Thanh,4,game cập nhật xong lag quá,10/07/2025 13:41,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.3, update
Tín Lê,5,vui,10/07/2025 13:38,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Dang Bui,1,"cân nhiêu mang qua game thì choi kiêu gì! không giông ban mình hay choi ,lag choi khong đuoc lai con bi cam choi toi nam 2028",10/07/2025 13:36,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Dang Bui,1,"cân nhiêu mang qua game thì choi kiêu gì! không giông ban mình hay choi ,lag choi khong đuoc lai con bi cam choi toi nam 2028",10/07/2025 13:36,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Bao Le,1,games tải xong 10GB nhà phát hành như cccc,10/07/2025 13:34,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Bris K,5,chơi cực kỳ vui nhưng cho hơi ít quân huy mong anh cho nhiều hơn cảm ơn,10/07/2025 13:33,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Vuong Mr,1,Game như lol. một tựa game mang tính thể thao toàn cầu mà cứ hết mùa thì cặp nhập từ đầu chẳn khác gì game mới tải lần đầu tôi không làm gì được nhà game.nhưng tôi rất không thích và khó chịu,10/07/2025 13:33,1.58.1.2,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
thảo nguyễn minh,5,chơi hay nha,10/07/2025 13:33,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Luyến Võ,1,quá lắc càng cập nhật thì càng lắc chơi cứ bị bay ra,10/07/2025 13:33,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
Minh Nhật Trần,1,"Cơ chế mới của game làm kiểu gì vậy? Mình đi rừng bị thằng sp pick con khác tranh r còn trừ uy tín nữa?? Đổi lại cơ chế cũ dùm đi, game nát lắm r",10/07/2025 13:32,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,matchmaking
Vanh thợ xây,1,game cc gì tải 9G,10/07/2025 13:32,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
K Le,5,trò chơi này rất là vui tôi nên đánh giá 5sao,10/07/2025 13:29,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Chien Le,1,ghép toàn sv,10/07/2025 13:28,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Bao Phuc,1,đánh mãi mà không lên ủy tín,10/07/2025 13:28,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Nghiệp Nguyễn,1,game quá lag tải tài nguyên lâu h lên tận 9gb khải năng tôi xẽ bỏ gaem liên quân chuyển qua lerngd mobile vì quá lag😩😢,10/07/2025 13:27,1.59.1.5,4,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Nghiệp Nguyễn,1,game quá lag tải tài nguyên lâu h lên tận 9gb khải năng tôi xẽ bỏ gaem liên quân chuyển qua lerngd mobile vì quá lag😩😢,10/07/2025 13:27,1.59.1.5,4,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Nhan Thanh,5,game hây,10/07/2025 13:25,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
hoang huy Nguyen,5,hay,10/07/2025 13:24,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Vỹ Nguyễn,1,mỗi lần cập nhật là lag k vào đc game??,10/07/2025 13:23,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Vỹ Nguyễn,1,mỗi lần cập nhật là lag k vào đc game??,10/07/2025 13:23,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Vỹ Nguyễn,1,mỗi lần cập nhật là lag k vào đc game??,10/07/2025 13:23,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Thuận Quach,1,game cập nhật xg như l luôn có lúc chọn đc có 1 đường k có tướng khác cho chọn luôn rồi thì vô cùng éo đc giựt giựt,10/07/2025 13:20,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
Hoà Trần,5,game siêu hay,10/07/2025 13:20,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Manh Nguyen,5,Hayyyy,10/07/2025 13:19,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Thuận Võ Trần Minh,1,ghép trận chẳng thấy công bằng một síu nào,10/07/2025 13:19,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,matchmaking
Thủy Tiên Nguyễn Ngọc,5,cũng dc nhưng thấy cap Nhật hơi kì,10/07/2025 13:18,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Hà Đặng,3,gqme nhiều lỗi quá sửa lại đi,10/07/2025 13:18,1.59.1.5,0,0,Lien Quan Mobile,Neutral,churn_reason.1,bug
Hường Trần,5,top flo,10/07/2025 13:18,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Huy Nguyen,5,Game chs hay giải trí có đều ghép đội chx đúng cho lắm,10/07/2025 13:17,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Diep Nguyen,5,tốt,10/07/2025 13:17,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Tam Nguyen,5,tốt,10/07/2025 13:16,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Quyết Hoàng,1,điềm uy tín cày ko được cày mại ko lên,10/07/2025 13:16,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Hải Long Nguyễn,1,game vô ko đc dù đã tải tài nguyên mạng cũng đủ để sd như bth hiện tại vẫn vậy hôm qua chơi vẫn ổn hôm nay lại báo ko vô đc cả 4 cái acc dù đã thử xóa đi tải lại vẫn ko đc. mong nhà sản xuất chỉnh sửa lại.ok,10/07/2025 13:15,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
nham nguyen,4,game hay vcll nên chơi thử,10/07/2025 13:15,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Phương Anh Nguyễn,1,"game bắt tải lắm tài nguyên,nặng ơi là nặng,chơi game thì gặp lũ sv phá game",10/07/2025 13:15,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,performance
Phương Anh Nguyễn,1,"game bắt tải lắm tài nguyên,nặng ơi là nặng,chơi game thì gặp lũ sv phá game",10/07/2025 13:15,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, toxic
Phương Anh Nguyễn,1,"game bắt tải lắm tài nguyên,nặng ơi là nặng,chơi game thì gặp lũ sv phá game",10/07/2025 13:15,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Quyến Quàng,5,Garena nhất là hay,10/07/2025 13:13,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Thế tường Võ,1,ghép thật sự rất lệch rank chịu garena sửa giùm đi trời,10/07/2025 13:13,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Lai Nguyễn Đức,5,"tôi thấy game này hay và nhiều sự kiện, trong đó tôi có thể giao lưu nhiều người hơn, chỉ có điều tôi quá gà 🤣🤣",10/07/2025 13:12,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Trung Lê Quang,5,geam OK hay đồ hoạ đẹp,10/07/2025 13:12,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Galaxy A03,5,tê,10/07/2025 13:12,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Sat A,5,hayyy,10/07/2025 13:11,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Lan Tran,5,Chơi vui,10/07/2025 13:11,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
May Nguyen,1,"cập nhật xong nó lag thôi rồi, vào game thì mãi mới vào được, vào được thì wifi nó rớt không phanh, không làm được gì hết... cập nhật không biết để tốt hơn hay hành người hơn nữa",10/07/2025 13:10,1.59.1.5,5,1,Lien Quan Mobile,Negative,churn_reason.1,lag
May Nguyen,1,"cập nhật xong nó lag thôi rồi, vào game thì mãi mới vào được, vào được thì wifi nó rớt không phanh, không làm được gì hết... cập nhật không biết để tốt hơn hay hành người hơn nữa",10/07/2025 13:10,1.59.1.5,5,1,Lien Quan Mobile,Negative,churn_reason.2, performance
May Nguyen,1,"cập nhật xong nó lag thôi rồi, vào game thì mãi mới vào được, vào được thì wifi nó rớt không phanh, không làm được gì hết... cập nhật không biết để tốt hơn hay hành người hơn nữa",10/07/2025 13:10,1.59.1.5,5,1,Lien Quan Mobile,Negative,churn_reason.3, update
Dang Xuan,5,Hay,10/07/2025 13:09,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Duong Thuy,1,"Cg hay nhưng chs toàn gặp thoát , ngu , ks . chả hiểu sao Garena ngu . như cứk",10/07/2025 13:09,1.59.1.5,1,1,Lien Quan Mobile,Negative,churn_reason.1,other
Huy Bùi,5,"chơi vui,có thể giải trí",10/07/2025 13:08,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Phát Bùi Xuân,1,Update xg lỗi ko vào đc trận mất mẹ 7ut fix nhanh cmm lên,10/07/2025 13:08,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,bug
Phát Bùi Xuân,1,Update xg lỗi ko vào đc trận mất mẹ 7ut fix nhanh cmm lên,10/07/2025 13:08,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, update
Sơn Nguyễn,5,game chs hay nhưng phải tải,10/07/2025 13:08,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Canhphung To,1,games gì suốt ngày cập nhật vs cập nhật,10/07/2025 13:07,1.58.1.2,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
The hung Luu,5,ok,10/07/2025 13:05,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Dung Nguyễn,2,"đg chs lq thì trận game đơ,đã thế còn ko thấy j",10/07/2025 13:04,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,bug
Chiến Trần,5,cho hỏi mấy bn đánh giá xấu về vc cập nhật mấy bn đã hiểu vấn đề rằng mổi khi cập nhật phải lập code game nào chả như game nào mà chê cập nhật tốn Gb còn mấy bn vào game ko đc thì xem lại đt mấy bn báo lổi là do đt yếu hoặc dùng apk hay có can thiệp vào điện thoại chứ game trăm triệu người chơi ko ý kiến mấy bn cứ đổ lổi,10/07/2025 13:04,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,update
Truc Phan,2,cập nhật xg vô chơi game chỉ bt chán nản lag k di chuyển dc ln mặc dù mạng rất bth trong game wifi đỏ chót k di chuyển dc k chơi dc j hết ln chịu nhà phát hành đấy!,10/07/2025 13:01,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,lag
Truc Phan,2,cập nhật xg vô chơi game chỉ bt chán nản lag k di chuyển dc ln mặc dù mạng rất bth trong game wifi đỏ chót k di chuyển dc k chơi dc j hết ln chịu nhà phát hành đấy!,10/07/2025 13:01,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, performance
Truc Phan,2,cập nhật xg vô chơi game chỉ bt chán nản lag k di chuyển dc ln mặc dù mạng rất bth trong game wifi đỏ chót k di chuyển dc k chơi dc j hết ln chịu nhà phát hành đấy!,10/07/2025 13:01,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, update
Vu Linh,5,dễ chơi 🥰🥰🥰🥰🥰rất hay 🥰🥰🥰🥰💯 điểm,10/07/2025 13:01,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Chép chép,1,vc game bị j vậy sao ko cho vào trận đấu làm ng ta bị trừ điểm uy tín có rớt mạng mô tr,10/07/2025 13:00,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Hồng Dẹn Ngô,1,"Game lỗi, giật lag mất âm thanh tướng khiến trải nghiệm game khó chịu vô cùng😡",10/07/2025 12:57,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,bug
Hồng Dẹn Ngô,1,"Game lỗi, giật lag mất âm thanh tướng khiến trải nghiệm game khó chịu vô cùng😡",10/07/2025 12:57,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, lag
Hồng Dẹn Ngô,1,"Game lỗi, giật lag mất âm thanh tướng khiến trải nghiệm game khó chịu vô cùng😡",10/07/2025 12:57,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.3, performance
